Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Strength training duration (ms)
4/8/19,495.7185014,,,,,,,,,0,,,,,,,
5/8/19,1495.625,,,,,,,,,0,,,,,,,
6/8/19,1581.548703,1445.109787,-33.8837477,151.0695788,-33.8650401,151.2031207,1.338226809,14.25,0.512860894,5121,66,66,66,24181544,1629327,,
7/8/19,1503.561304,354.9743659,-33.8712464,151.0694401,-33.8652951,151.0962029,1.404911466,48,0.476854384,575,,,,84031915,130395,,
8/8/19,1713.201693,3718.843148,-33.9231659,151.0105709,-33.8327973,151.0963118,3.134035047,78,0.110560641,7152,,,,74254910,4155703,,
9/8/19,1588.62483,888.3808198,-33.9267691,151.0579837,-33.8671411,151.0987732,1.859708443,48,0.33017835,2689,,,,78370202,1776294,,
10/8/19,1752.100628,4902.092867,-33.8975436,151.0952341,-33.8675076,151.2076873,1.26049248,24.13999939,0.234886274,8937,,,,77562186,4893856,,
11/8/19,1716.234133,4013.976402,-33.871321,151.0690309,-33.8537976,151.0962903,1.816596392,18.64999962,0.273669034,7709,,,,78065734,4212324,,
12/8/19,1866.992087,6589.831594,-33.8683688,151.0915265,-33.851534,151.1006921,1.144829166,4.480000019,0.090751752,6438,,,,82808874,1866405,1238987,
13/8/19,2046.1371,10085.50467,-33.8978184,151.0695449,-33.8559347,151.2066105,0.945213012,4.360000134,0.047111437,12638,,,,74217949,4312324,1495210,
14/8/19,1806.807591,6858.530267,-33.8743464,151.0626292,-33.8624684,151.1053455,0.985685492,6.119999886,0.099082634,10407,,,,78334134,5943555,,
15/8/19,1623.36861,2020.455705,-33.8745725,151.0927702,-33.8680995,151.0961487,2.510616291,7.46999979,0.156691641,4306,,,,82659033,2437877,,
16/8/19,1973.934697,6904.626244,-33.8743469,151.0951741,-33.8681247,151.1046509,1.190919083,2.950000048,0.169446379,9319,,,,79838252,1766205,2292297,
17/8/19,1773.723303,5441.048961,-33.9689058,151.0940629,-33.8680937,151.2080586,1.537341236,21.45000076,0.321319193,10234,,,,73287585,5311664,,
18/8/19,1679.14187,3987.436881,-33.9658241,151.0941728,-33.8681293,151.1145531,2.679642737,59,0.274710447,6269,,,,76810198,3455665,,
19/8/19,1774.539305,4462.738078,-33.8951234,151.0954969,-33.8680708,151.2066004,1.805209324,23.76000023,0.19265072,7741,,,,78293005,5327246,,
20/8/19,1636.649056,2427.018573,-33.897489,151.0941496,-33.8680607,151.204598,1.170583628,20.26000023,0.332106501,4407,,,,80374814,2693552,,
21/8/19,1562.726781,1235.747921,-33.871481,151.094552,-33.8680557,151.0964692,0.753628565,2.089999914,0.303794086,2513,,,,82477470,1281641,,
22/8/19,1624.46894,2123.199245,-33.8717199,151.0657335,-33.8667553,151.0962367,1.145814031,15.09000015,0.251965553,3527,,,,82723011,2460914,,
