Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
4/8/19,522.3717032,,,,,,,,,0,,,,,,,
5/8/19,1545.75,,,,,,,,,0,,,,,,,
6/8/19,1704.999008,2466.057269,,,,,0.688947764,1.444723725,0.25531441,3949,73,73,73,,24659475,2691614,
7/8/19,1659.720555,1361.711558,,,,,1.057499025,1.464972496,0.304168373,2744,,,,,83049992,1926324,
8/8/19,1685.993037,1859.82477,,,,,0.890247501,1.535317659,0.254735172,3149,,,,,79618820,2370194,
9/8/19,1766.226617,2309.853033,-33.8719064,151.0869836,-33.8670468,151.0929888,0.512745162,1.600307822,0.275739551,4083,,,,,81678902,3726477,
10/8/19,1930.483085,5012.661564,-33.8841069,151.092941,-33.871876,151.2027938,1.031237547,2.420000076,0.295931309,8570,,,,,76813702,6502724,
11/8/19,1826.338781,3809.776306,-33.8718996,150.9923566,-33.8319621,151.0930142,1.782985921,20.21999931,0.249816775,5945,,,,,78180609,4741619,
12/8/19,1565.57325,65.56474113,-33.8719107,151.0929502,-33.8718826,151.0930216,0.322382954,0.359811872,0.296164691,350,,,,,83420604,335052,
13/8/19,1803.959557,3207.286002,,,,,0.710509943,1.472128034,0.26552698,5612,,,,,79133113,4364234,
14/8/19,1738.304502,2285.436704,-33.871939,151.0929026,-33.8718549,151.0930707,0.664950141,1.468808889,0.285952091,4049,,,,,81440065,3254539,
15/8/19,1627.238291,917.4581897,-33.8718853,151.0929711,-33.8718853,151.0929711,0.538036508,1.424706221,0.289943486,1750,,,,,84631704,1377308,
16/8/19,1664.426692,1433.300582,,,,,0.655761802,1.442661285,0.264097214,2810,,,,,82845475,2005864,
17/8/19,1602.806259,279.6717911,,,,,0.798018318,1.361450553,0.319629967,590,,,,,81102704,964360,
18/8/19,1558.748102,7.965809822,-33.871959,151.0929501,-33.8718162,151.0931764,0.278493732,0.278493732,0.278493732,169,,,,,85757621,219693,
19/8/19,1778.775947,3804.06997,-33.8955801,151.0927254,-33.8713785,151.2074501,0.956706049,1.669355512,0.178692684,6619,,,,,79784054,3937839,
20/8/19,1755.998951,3441.466304,-33.8733713,151.0926313,-33.8718496,151.0939488,0.991773183,4.281836987,0.045027684,5467,,,,,80420167,3553276,
21/8/19,1569.081185,188.7284107,-33.8718904,151.0929846,-33.8718517,151.0930556,0.483603754,0.617473483,0.289057344,689,,,,,85333882,394343,
22/8/19,1765.355014,1542.662848,-33.8718612,151.0930117,-33.8718052,151.0931788,0.984756971,1.494819045,0.306377292,3989,,,,1597673,78205009,2004556,
23/8/19,1592.348438,570.7855356,-33.8719127,151.0929506,-33.8717881,151.0931688,0.835709357,1.399779081,0.306377292,1306,,,,,84794454,787605,
24/8/19,1545.749897,,-33.8719093,151.0929755,-33.8718032,151.093137,,,,12,,,,,84287603,,
25/8/19,2219.660268,8417.960266,-33.8186181,150.9871604,-33.8055301,151.0061244,1.131315316,9.270000458,0.212210283,15683,,,,,64570753,11252730,60684
26/8/19,1848.846292,5051.760515,-33.8083145,150.9875012,-33.805503,150.9920059,0.994933947,6,0.293409914,8531,,,,,74858740,5122904,
27/8/19,1874.441168,5802.834061,-33.8947552,150.9919466,-33.8064539,151.2038047,1.11928386,15.82999992,0.292391956,9126,,,,,74310161,5555508,
28/8/19,1767.392261,4197.663915,,,,,1.134889987,1.480553985,0.25531441,6645,,,,,47173768,3746177,
29/8/19,1841.438255,5279.31135,-33.8175084,150.9884185,-33.8054492,151.0045934,1.110760422,1.495057702,0.275739551,9125,,,,,75854656,4997696,
30/8/19,1607.89518,244.820142,,,,,0.617136686,0.974573672,0.26399523,1348,,,,,83764804,1050372,
31/8/19,1829.881807,4430.868695,-33.8847417,151.1994427,-33.8836843,151.2068122,0.719768171,1.700850844,0.304124326,7108,,,,,77176611,4802371,
1/9/19,1590.166875,852.2716522,,,,,1.236188334,1.412590384,0.299206048,1436,,,,,83211680,750730,
2/9/19,1560.846503,12.86784649,,,,,0.312736511,0.312736511,0.312736511,249,,,,,83101845,255161,
3/9/19,1853.551229,5440.029947,-33.8839222,151.2030459,-33.8839101,151.2043062,0.946246933,1.590462327,0.306377292,9423,,,,,76084276,5202428,
4/9/19,1736.370961,2753.056366,,,,,0.456199359,1.511022329,0.306377292,5862,,,,,78377259,3221860,
5/9/19,1581.315764,254.7998705,,,,,0.530366593,1.13302958,0.349994063,773,,,,,82172980,601131,
6/9/19,1545.749982,,-33.806726,150.9919735,-33.8064857,150.9920654,1.085000008,1.210000038,0.959999979,140,,,,,85722455,,
7/9/19,1879.32148,5590.781465,-33.8840819,150.9919787,-33.8064508,151.2038125,0.854458499,6,0.172014624,9673,,,,,74496646,5496175,60606
8/9/19,1997.837257,6940.100276,-33.8867059,151.0545208,-33.8113957,151.2437904,1.626040032,23.26000023,0.26552698,14383,,,,,61530769,7416852,98886
9/9/19,1559.002943,58.21168518,-33.8065407,150.9917539,-33.8063657,150.9920181,0.910572031,1.220000029,0.306377292,305,,,,,85683602,224000,
10/9/19,1680.933309,2000.430466,-33.8064242,150.9919824,-33.8064242,150.9919824,0.617792145,1.542779326,0.259239256,4254,,,,,80487047,2284856,
11/9/19,1554.73804,,-33.8064732,150.9918831,-33.8064514,150.9920758,0.816058156,0.879999995,0.74000001,183,,,,,85695854,151915,
12/9/19,1595.895323,322.9216633,-33.8064925,150.9918631,-33.8064775,150.9921356,1.306850092,2.099999905,0.283267707,808,,,,,84204075,847552,
13/9/19,1565.461763,64.33923054,,,,,0.292324315,0.451375812,0.256910056,485,,,,,81276223,333167,
14/9/19,845.8031261,134.1932507,,,,,0.455001603,0.666942775,0.272732168,286,,,,,45572607,366812,
