Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
4/8/19,804.1742319,,,,,,,,,0,,,,,,,
5/8/19,1472,,,,,,,,,0,,,,,,,
6/8/19,1767.377883,4999.5663,-33.8854406,151.179739,-33.7956172,151.2142137,1.2592581,21.08949471,0.224033862,8465,65,65,65,,38662731,5337910,149316
7/8/19,1478.549051,105.3071494,-33.7960694,151.1797334,-33.795128,151.1813734,0.780275369,1.443314075,0.181021199,380,,,,,85976598,126983,
8/8/19,1615.500338,2856.10013,-33.8845442,151.1797924,-33.7955769,151.2115872,1.041263549,12.97963428,0.372370541,5256,,,,,80919200,2399085,167004
9/8/19,1577.405259,1903.062859,-33.7960387,151.1796939,-33.7944448,151.1827918,0.986473006,2.789123535,0.250734895,2993,,,,,84692554,1290893,324675
10/8/19,1707.642099,3528.844756,-33.8851023,151.1796908,-33.7953752,151.2116502,1.272917599,14.00084114,0.260191828,7468,,,,,77667317,3475150,436236
11/8/19,1545.43246,204.3558493,-33.7965658,151.1796918,-33.7954311,151.1811088,0.864163489,1.195319414,0.234574482,1456,,,,,84159060,363084,462131
12/8/19,1718.343435,4732.30257,-33.8867978,151.1797097,-33.7956141,151.2126863,1.27200575,14.46799088,0.215479195,7872,,,,,77922355,4774990,
13/8/19,1722.289042,2940.298488,-33.883923,151.1795742,-33.7858809,151.2117782,1.394392659,21.54531097,0.066310324,5671,,,,,73193203,4533269,139297
14/8/19,1738.641695,2314.122182,-33.7970262,151.1781416,-33.7946523,151.1822586,0.847609192,3.11299324,0.175098076,4569,,,,,81592139,2615262,1113047
15/8/19,1700.128103,3661.140678,-33.8852317,151.1797265,-33.7955856,151.2119235,1.809959008,17.724123,0.362979949,6557,,,,,79199669,3017154,605534
16/8/19,1688.295253,4185.453392,-33.7980446,151.077023,-33.7631475,151.1811392,0.751546042,3.814563751,0.281688988,6299,,,,,80053556,2672137,531331
17/8/19,2109.410244,13629.11802,-33.9256079,151.030279,-33.7631429,151.2117839,1.57262682,14.021698,0.207432061,18426,,,,,66190846,11000923,274789
18/8/19,1851.15822,5810.763772,-33.7975261,151.0767952,-33.7630937,151.1845661,1.008329057,3.300308704,0.271381766,11262,,,,,76142553,6321893,425787
19/8/19,1708.384381,4254.17986,-33.8842829,151.0767454,-33.7629778,151.2115325,1.021127574,6.550395966,0.091092497,7125,,,,,77160325,4166380,181681
20/8/19,1795.186785,4365.108396,-33.8843157,151.0769159,-33.7630775,151.212782,0.854066008,2.806770802,0.007269492,9236,,,,,75394114,4837360,619206
21/8/19,1831.691959,6399.118704,-33.814671,151.0766604,-33.7630518,151.1815718,1.300795752,15.76432896,0.289895922,11323,,,,,72639960,6969866,
22/8/19,1590.975252,1953.268942,-33.796866,151.0767376,-33.7620714,151.1809714,0.653748977,1.70493412,0.334421098,3606,,,,,82833354,1953024,154164
23/8/19,1734.200071,4079.707172,-33.7975809,151.0767801,-33.7630681,151.1817957,1.016829851,2.04857564,0.257382631,7799,,,,,79230362,5083954,
24/8/19,1562.14042,1816.660668,-33.7968894,151.0767415,-33.7630571,151.1807648,0.835098216,2.495765686,0.303726792,3965,,,,,82664140,1642390,
25/8/19,1649.064658,2570.155319,-33.8735174,151.0816145,-33.7726537,151.1810412,0.694211788,4.268564224,0.293199539,5593,,,,,78638907,3063577,161039
26/8/19,1671.114815,3452.842329,-33.8840582,151.1796984,-33.795403,151.2111788,0.856656856,12.66706371,0.303871989,6396,,,,,79759915,3716117,60534
27/8/19,1678.078872,3904.084359,-33.8841019,151.1797321,-33.7955932,151.2088894,1.055209238,2.869878292,0.489211112,6926,,,,,79776855,3995788,
28/8/19,1555.024506,1387.467517,-33.7964686,151.1795583,-33.7953065,151.1810434,0.86321317,2.829975128,0.537291825,3079,,,,,83496605,368270,469785
29/8/19,1746.777891,4419.438753,-33.8945554,151.0578851,-33.7630649,151.2118347,1.494059651,16.54509354,0.001924242,7305,,,,966517,72466204,4282625,
30/8/19,1821.795633,5693.247826,-33.7968796,151.0766297,-33.7629993,151.1808799,1.350804693,15.2743187,0.151342347,10396,,,,,77064006,5711706,442983
31/8/19,1578.05261,2229.684652,-33.8846168,151.1789787,-33.7949555,151.2120883,1.165927963,12.84207821,0.316616505,6966,,,,,77971174,2049091,
1/9/19,1896.714586,8140.427991,-33.94342,151.0313826,-33.7630904,151.2141888,2.375993206,21.60859489,0.121482126,12645,,,,,67689038,8220244,
2/9/19,1642.133458,3260.474693,-33.7969515,151.0766903,-33.7630905,151.181145,0.756656175,2.607523441,0.100580014,5778,,,,,82150851,3291922,
3/9/19,1790.541967,5817.946306,-33.88561,151.1794916,-33.7941553,151.211641,2.043715651,3.570524931,0.308859169,8757,,,,,79079069,4987701,447752
4/9/19,1595.802006,1730.661709,-33.7966281,151.179746,-33.795059,151.1814201,0.791372356,3.233649492,0.227407783,3205,,,,,83198274,712566,548670
5/9/19,1760.619088,4781.009503,-33.8850506,151.0768612,-33.7630833,151.2085161,1.757059043,25.06918335,0.210295558,8214,,,,,75540091,5444572,60207
6/9/19,1758.786394,4535.23163,-33.7976195,151.076672,-33.7630319,151.1837364,1.176240279,2.91489768,0.205393925,8145,,,,,79480808,4013151,484369
7/9/19,1861.142958,6911.123635,-33.8845368,151.1797934,-33.7953973,151.2139227,1.483661984,21.32528687,0.177745447,11353,,,,,74256668,6941583,219956
8/9/19,1508.563395,662.037178,-33.7968793,151.1798226,-33.7940836,151.1815096,0.756049937,1.127952218,0.512913167,1928,,,,,84506120,708950,
9/9/19,1636.943827,2576.407285,-33.8848271,151.1795326,-33.794967,151.2125286,1.79704712,18.72644997,0.212639779,5518,,,,38946,79158981,2442177,311216
10/9/19,1809.635917,3543.796467,-33.8671024,151.1801489,-33.5937553,151.3340202,1.50373576,18.99191093,0.184280336,8836,,,,,62840425,6112084,153690
11/9/19,1547.113595,1021.915395,-33.8658621,151.1797982,-33.5907108,151.3334835,1.855053069,22.67042923,0.223024786,2979,,,,,74766469,1383618,
12/9/19,1571.592231,1531.437222,-33.8092651,151.1707033,-33.794239,151.1815914,0.672378075,2.884988546,0.302450985,3250,,,,,83418230,1552131,151445
13/9/19,1236.327859,,-33.7963171,151.1799921,-33.7949531,151.1812153,0.60559648,1.020702362,0.508882403,72,,,,,72567067,,
14/9/19,,,,,,,,,,0,,,,,,,
